-0.49997 -0.99981 -1.49940 -1.99862 -2.49734 -2.99544 -3.49279 -3.98928 -4.48476 -4.97913 -5.47226 -5.96403 -6.45431 -6.94298 -7.42992 -7.91501 -8.39812 -8.87914 -9.35795 -9.83443 -10.30846 -10.77992 -11.24869 -11.71466 -12.17770 -12.63772 -13.09458 -13.54818 -13.99840 -14.44514 -14.88827 -15.32770 -15.76330 -16.19498 -16.62262 -17.04612 -17.46536 -17.88026 -18.29070 -18.69658 -19.09780 -19.49427 -19.88587 -20.27252 -20.65411 -21.03056 -21.40177 -21.76764 -22.12809 -22.48303 -22.83236 -23.17600 -23.51386 -23.84586 -24.17192 -24.49196 -24.80589 -25.11365 -25.41514 -25.71029 -25.99905 -26.28132 -26.55704 -26.82614 -27.08856 -27.34422 -27.59307 -27.83505 -28.07009 -28.29813 -28.51912 -28.73300 -28.93972 -29.13923 -29.33147 -29.51641 -29.69399 -29.86417 -30.02691 -30.18216 -30.32989 -30.47006 -30.60264 -30.72759 -30.84489 -30.95449 -31.05639 -31.15054 -31.23693 -31.31553 -31.38633 -31.44931 -31.50445 -31.55174 -31.59116 -31.62272 -31.64639 -31.66217 -31.67006 -31.67006 -31.66217 -31.64639 -31.62272 -31.59116 -31.55174 -31.50445 -31.44931 -31.38633 -31.31553 -31.23693 -31.15054 -31.05639 -30.95449 -30.84489 -30.72759 -30.60264 -30.47006 -30.32989 -30.18216 -30.02691 -29.86417 -29.69399 -29.51641 -29.33147 -29.13923 -28.93972 -28.73300 -28.51912 -28.29813 -28.07009 -27.83505 -27.59307 -27.34422 -27.08856 -26.82614 -26.55704 -26.28132 -25.99905 -25.71029 -25.41514 -25.11365 -24.80589 -24.49196 -24.17192 -23.84586 -23.51386 -23.17600 -22.83236 -22.48303 -22.12809 -21.76764 -21.40177 -21.03056 -20.65411 -20.27252 -19.88587 -19.49427 -19.09780 -18.69658 -18.29070 -17.88026 -17.46536 -17.04612 -16.62262 -16.19498 -15.76330 -15.32770 -14.88827 -14.44514 -13.99840 -13.54818 -13.09458 -12.63772 -12.17770 -11.71466 -11.24869 -10.77992 -10.30846 -9.83443 -9.35795 -8.87914 -8.39812 -7.91501 -7.42992 -6.94298 -6.45431 -5.96403 -5.47226 -4.97913 -4.48476 -3.98928 -3.49279 -2.99544 -2.49734 -1.99862 -1.49940 -0.99981 -0.49997 0.00000 0.00000
-0.99981 -1.99937 -2.99843 -3.99675 -4.99406 -5.99014 -6.98472 -7.97756 -8.96841 -9.95703 -10.94316 -11.92657 -12.90701 -13.88422 -14.85798 -15.82804 -16.79415 -17.75608 -18.71358 -19.66641 -20.61435 -21.55715 -22.49457 -23.42639 -24.35237 -25.27228 -26.18590 -27.09298 -27.99332 -28.88668 -29.77284 -30.65158 -31.52268 -32.38592 -33.24109 -34.08798 -34.92638 -35.75607 -36.57684 -37.38851 -38.19085 -38.98368 -39.76679 -40.53999 -41.30308 -42.05588 -42.79821 -43.52986 -44.25067 -44.96045 -45.65902 -46.34621 -47.02186 -47.68578 -48.33782 -48.97782 -49.60561 -50.22103 -50.82394 -51.41418 -51.99161 -52.55608 -53.10746 -53.64559 -54.17036 -54.68163 -55.17927 -55.66316 -56.13317 -56.58920 -57.03112 -57.45883 -57.87222 -58.27119 -58.65563 -59.02546 -59.38058 -59.72089 -60.04633 -60.35680 -60.65222 -60.93253 -61.19766 -61.44753 -61.68209 -61.90128 -62.10503 -62.29332 -62.46607 -62.62326 -62.76484 -62.89078 -63.00105 -63.09561 -63.17445 -63.23755 -63.28489 -63.31645 -63.33223 -63.33223 -63.31645 -63.28489 -63.23755 -63.17445 -63.09561 -63.00105 -62.89078 -62.76484 -62.62326 -62.46607 -62.29332 -62.10503 -61.90128 -61.68209 -61.44753 -61.19766 -60.93253 -60.65222 -60.35680 -60.04633 -59.72089 -59.38058 -59.02546 -58.65563 -58.27119 -57.87222 -57.45883 -57.03112 -56.58920 -56.13317 -55.66316 -55.17927 -54.68163 -54.17036 -53.64559 -53.10746 -52.55608 -51.99161 -51.41418 -50.82394 -50.22103 -49.60561 -48.97782 -48.33782 -47.68578 -47.02186 -46.34621 -45.65902 -44.96045 -44.25067 -43.52986 -42.79821 -42.05588 -41.30308 -40.53999 -39.76679 -38.98368 -38.19085 -37.38851 -36.57684 -35.75607 -34.92638 -34.08798 -33.24109 -32.38592 -31.52268 -30.65158 -29.77284 -28.88668 -27.99332 -27.09298 -26.18590 -25.27228 -24.35237 -23.42639 -22.49457 -21.55715 -20.61435 -19.66641 -18.71358 -17.75608 -16.79415 -15.82804 -14.85798 -13.88422 -12.90701 -11.92657 -10.94316 -9.95703 -8.96841 -7.97756 -6.98472 -5.99014 -4.99406 -3.99675 -2.99843 -1.99937 -0.99981 0.00000 0.00000
-1.49940 -2.99843 -4.49671 -5.99387 -7.48954 -8.98334 -10.47490 -11.96385 -13.44982 -14.93244 -16.41133 -17.88614 -19.35649 -20.82201 -22.28235 -23.73713 -25.18599 -26.62858 -28.06453 -29.49349 -30.91510 -32.32900 -33.73485 -35.13229 -36.52097 -37.90055 -39.27069 -40.63104 -41.98126 -43.32102 -44.64998 -45.96782 -47.27420 -48.56879 -49.85129 -51.12136 -52.37868 -53.62296 -54.85387 -56.07111 -57.27438 -58.46337 -59.63779 -60.79735 -61.94176 -63.07073 -64.18398 -65.28123 -66.36222 -67.42666 -68.47431 -69.50488 -70.51814 -71.51382 -72.49168 -73.45147 -74.39296 -75.31590 -76.22008 -77.10526 -77.97122 -78.81775 -79.64464 -80.45168 -81.23867 -82.00541 -82.75172 -83.47740 -84.18227 -84.86617 -85.52892 -86.17035 -86.79031 -87.38863 -87.96518 -88.51980 -89.05237 -89.56274 -90.05078 -90.51639 -90.95944 -91.37982 -91.77742 -92.15215 -92.50392 -92.83263 -93.13820 -93.42057 -93.67965 -93.91538 -94.12771 -94.31658 -94.48195 -94.62376 -94.74200 -94.83662 -94.90761 -94.95495 -94.97862 -94.97862 -94.95495 -94.90761 -94.83662 -94.74200 -94.62376 -94.48195 -94.31658 -94.12771 -93.91538 -93.67965 -93.42057 -93.13820 -92.83263 -92.50392 -92.15215 -91.77742 -91.37982 -90.95944 -90.51639 -90.05078 -89.56274 -89.05237 -88.51980 -87.96518 -87.38863 -86.79031 -86.17035 -85.52892 -84.86617 -84.18227 -83.47740 -82.75172 -82.00541 -81.23867 -80.45168 -79.64464 -78.81775 -77.97122 -77.10526 -76.22008 -75.31590 -74.39296 -73.45147 -72.49168 -71.51382 -70.51814 -69.50488 -68.47431 -67.42666 -66.36222 -65.28123 -64.18398 -63.07073 -61.94176 -60.79735 -59.63779 -58.46337 -57.27438 -56.07111 -54.85387 -53.62296 -52.37868 -51.12136 -49.85129 -48.56879 -47.27420 -45.96782 -44.64998 -43.32102 -41.98126 -40.63104 -39.27069 -37.90055 -36.52097 -35.13229 -33.73485 -32.32900 -30.91510 -29.49349 -28.06453 -26.62858 -25.18599 -23.73713 -22.28235 -20.82201 -19.35649 -17.88614 -16.41133 -14.93244 -13.44982 -11.96385 -10.47490 -8.98334 -7.48954 -5.99387 -4.49671 -2.99843 -1.49940 0.00000 0.00000
-1.99862 -3.99675 -5.99387 -7.98951 -9.98315 -11.97430 -13.96247 -15.94716 -17.92788 -19.90413 -21.87542 -23.84125 -25.80114 -27.75461 -29.70116 -31.64030 -33.57156 -35.49445 -37.40850 -39.31322 -41.20815 -43.09280 -44.96672 -46.82943 -48.68047 -50.51937 -52.34569 -54.15896 -55.95873 -57.74456 -59.51600 -61.27260 -63.01393 -64.73956 -66.44905 -68.14199 -69.81794 -71.47649 -73.11723 -74.73974 -76.34363 -77.92849 -79.49393 -81.03956 -82.56499 -84.06985 -85.55375 -87.01633 -88.45723 -89.87608 -91.27253 -92.64623 -93.99685 -95.32403 -96.62747 -97.90682 -99.16176 -100.39200 -101.59722 -102.77711 -103.93140 -105.05978 -106.16197 -107.23771 -108.28673 -109.30875 -110.30354 -111.27083 -112.21039 -113.12199 -114.00540 -114.86039 -115.68676 -116.48429 -117.25280 -117.99208 -118.70196 -119.38226 -120.03280 -120.65343 -121.24398 -121.80432 -122.33431 -122.83381 -123.30269 -123.74085 -124.14816 -124.52454 -124.86988 -125.18410 -125.46712 -125.71888 -125.93930 -126.12833 -126.28593 -126.41206 -126.50669 -126.56978 -126.60133 -126.60133 -126.56978 -126.50669 -126.41206 -126.28593 -126.12833 -125.93930 -125.71888 -125.46712 -125.18410 -124.86988 -124.52454 -124.14816 -123.74085 -123.30269 -122.83381 -122.33431 -121.80432 -121.24398 -120.65343 -120.03280 -119.38226 -118.70196 -117.99208 -117.25280 -116.48429 -115.68676 -114.86039 -114.00540 -113.12199 -112.21039 -111.27083 -110.30354 -109.30875 -108.28673 -107.23771 -106.16197 -105.05978 -103.93140 -102.77711 -101.59722 -100.39200 -99.16176 -97.90682 -96.62747 -95.32403 -93.99685 -92.64623 -91.27253 -89.87608 -88.45723 -87.01633 -85.55375 -84.06985 -82.56499 -81.03956 -79.49393 -77.92849 -76.34363 -74.73974 -73.11723 -71.47649 -69.81794 -68.14199 -66.44905 -64.73956 -63.01393 -61.27260 -59.51600 -57.74456 -55.95873 -54.15896 -52.34569 -50.51937 -48.68047 -46.82943 -44.96672 -43.09280 -41.20815 -39.31322 -37.40850 -35.49445 -33.57156 -31.64030 -29.70116 -27.75461 -25.80114 -23.84125 -21.87542 -19.90413 -17.92788 -15.94716 -13.96247 -11.97430 -9.98315 -7.98951 -5.99387 -3.99675 -1.99862 0.00000 0.00000
-2.49734 -4.99406 -7.48954 -9.98315 -12.47427 -14.96228 -17.44657 -19.92650 -22.40147 -24.87086 -27.33404 -29.79042 -32.23937 -34.68029 -37.11256 -39.53559 -41.94876 -44.35148 -46.74314 -49.12315 -51.49092 -53.84586 -56.18738 -58.51490 -60.82783 -63.12561 -65.40765 -67.67339 -69.92226 -72.15371 -74.36718 -76.56211 -78.73796 -80.89419 -83.03026 -85.14564 -87.23979 -89.31220 -91.36236 -93.38974 -95.39386 -97.37419 -99.33026 -101.26157 -103.16765 -105.04802 -106.90220 -108.72975 -110.53019 -112.30309 -114.04800 -115.76449 -117.45213 -119.11049 -120.73917 -122.33776 -123.90586 -125.44308 -126.94904 -128.42336 -129.86567 -131.27562 -132.65285 -133.99702 -135.30780 -136.58485 -137.82787 -139.03653 -140.21055 -141.34962 -142.45346 -143.52181 -144.55438 -145.55093 -146.51120 -147.43496 -148.32197 -149.17202 -149.98490 -150.76039 -151.49831 -152.19848 -152.86071 -153.48485 -154.07074 -154.61822 -155.12718 -155.59747 -156.02899 -156.42162 -156.77526 -157.08984 -157.36526 -157.60147 -157.79840 -157.95600 -158.07423 -158.15307 -158.19250 -158.19250 -158.15307 -158.07423 -157.95600 -157.79840 -157.60147 -157.36526 -157.08984 -156.77526 -156.42162 -156.02899 -155.59747 -155.12718 -154.61822 -154.07074 -153.48485 -152.86071 -152.19848 -151.49831 -150.76039 -149.98490 -149.17202 -148.32197 -147.43496 -146.51120 -145.55093 -144.55438 -143.52181 -142.45346 -141.34962 -140.21055 -139.03653 -137.82787 -136.58485 -135.30780 -133.99702 -132.65285 -131.27562 -129.86567 -128.42336 -126.94904 -125.44308 -123.90586 -122.33776 -120.73917 -119.11049 -117.45213 -115.76449 -114.04800 -112.30309 -110.53019 -108.72975 -106.90220 -105.04802 -103.16765 -101.26157 -99.33026 -97.37419 -95.39386 -93.38974 -91.36236 -89.31220 -87.23979 -85.14564 -83.03026 -80.89419 -78.73796 -76.56211 -74.36718 -72.15371 -69.92226 -67.67339 -65.40765 -63.12561 -60.82783 -58.51490 -56.18738 -53.84586 -51.49092 -49.12315 -46.74314 -44.35148 -41.94876 -39.53559 -37.11256 -34.68029 -32.23937 -29.79042 -27.33404 -24.87086 -22.40147 -19.92650 -17.44657 -14.96228 -12.47427 -9.98315 -7.48954 -4.99406 -2.49734 0.00000 0.00000
-2.99544 -5.99014 -8.98334 -11.97430 -14.96228 -17.94653 -20.92631 -23.90087 -26.86948 -29.83139 -32.78586 -35.73217 -38.66957 -41.59733 -44.51472 -47.42102 -50.31550 -53.19745 -56.06613 -58.92084 -61.76087 -64.58550 -67.39404 -70.18579 -72.96004 -75.71611 -78.45331 -81.17095 -83.86837 -86.54488 -89.19983 -91.83254 -94.44237 -97.02866 -99.59078 -102.12807 -104.63990 -107.12566 -109.58472 -112.01647 -114.42031 -116.79563 -119.14184 -121.45835 -123.74460 -126.00001 -128.22401 -130.41606 -132.57561 -134.70212 -136.79505 -138.85390 -140.87813 -142.86726 -144.82079 -146.73822 -148.61908 -150.46290 -152.26922 -154.03760 -155.76758 -157.45874 -159.11067 -160.72294 -162.29515 -163.82691 -165.31785 -166.76759 -168.17576 -169.54202 -170.86603 -172.14745 -173.38597 -174.58128 -175.73309 -176.84109 -177.90502 -178.92462 -179.89962 -180.82979 -181.71489 -182.55470 -183.34902 -184.09764 -184.80038 -185.45707 -186.06754 -186.63163 -187.14921 -187.62015 -188.04433 -188.42165 -188.75201 -189.03532 -189.27153 -189.46057 -189.60238 -189.69695 -189.74424 -189.74424 -189.69695 -189.60238 -189.46057 -189.27153 -189.03532 -188.75201 -188.42165 -188.04433 -187.62015 -187.14921 -186.63163 -186.06754 -185.45707 -184.80038 -184.09764 -183.34902 -182.55470 -181.71489 -180.82979 -179.89962 -178.92462 -177.90502 -176.84109 -175.73309 -174.58128 -173.38597 -172.14745 -170.86603 -169.54202 -168.17576 -166.76759 -165.31785 -163.82691 -162.29515 -160.72294 -159.11067 -157.45874 -155.76758 -154.03760 -152.26922 -150.46290 -148.61908 -146.73822 -144.82079 -142.86726 -140.87813 -138.85390 -136.79505 -134.70212 -132.57561 -130.41606 -128.22401 -126.00001 -123.74460 -121.45835 -119.14184 -116.79563 -114.42031 -112.01647 -109.58472 -107.12566 -104.63990 -102.12807 -99.59078 -97.02866 -94.44237 -91.83254 -89.19983 -86.54488 -83.86837 -81.17095 -78.45331 -75.71611 -72.96004 -70.18579 -67.39404 -64.58550 -61.76087 -58.92084 -56.06613 -53.19745 -50.31550 -47.42102 -44.51472 -41.59733 -38.66957 -35.73217 -32.78586 -29.83139 -26.86948 -23.90087 -20.92631 -17.94653 -14.96228 -11.97430 -8.98334 -5.99014 -2.99544 0.00000 0.00000
-3.49279 -6.98472 -10.47490 -13.96247 -17.44657 -20.92631 -24.40084 -27.86929 -31.33079 -34.78448 -38.22951 -41.66501 -45.09012 -48.50400 -51.90579 -55.29464 -58.66971 -62.03016 -65.37515 -68.70385 -72.01542 -75.30905 -78.58391 -81.83918 -85.07406 -88.28774 -91.47941 -94.64828 -97.79357 -100.91448 -104.01025 -107.08009 -110.12324 -113.13896 -116.12647 -119.08504 -122.01394 -124.91242 -127.77978 -130.61529 -133.41824 -136.18795 -138.92372 -141.62486 -144.29071 -146.92060 -149.51387 -152.06988 -154.58799 -157.06757 -159.50801 -161.90870 -164.26903 -166.58843 -168.86631 -171.10210 -173.29525 -175.44522 -177.55145 -179.61344 -181.63067 -183.60263 -185.52883 -187.40879 -189.24205 -191.02815 -192.76663 -194.45708 -196.09906 -197.69217 -199.23601 -200.73020 -202.17436 -203.56813 -204.91117 -206.20315 -207.44373 -208.63262 -209.76950 -210.85411 -211.88617 -212.86543 -213.79163 -214.66455 -215.48397 -216.24969 -216.96152 -217.61927 -218.22279 -218.77193 -219.26654 -219.70650 -220.09171 -220.42207 -220.69749 -220.91792 -221.08328 -221.19355 -221.24869 -221.24869 -221.19355 -221.08328 -220.91792 -220.69749 -220.42207 -220.09171 -219.70650 -219.26654 -218.77193 -218.22279 -217.61927 -216.96152 -216.24969 -215.48397 -214.66455 -213.79163 -212.86543 -211.88617 -210.85411 -209.76950 -208.63262 -207.44373 -206.20315 -204.91117 -203.56813 -202.17436 -200.73020 -199.23601 -197.69217 -196.09906 -194.45708 -192.76663 -191.02815 -189.24205 -187.40879 -185.52883 -183.60263 -181.63067 -179.61344 -177.55145 -175.44522 -173.29525 -171.10210 -168.86631 -166.58843 -164.26903 -161.90870 -159.50801 -157.06757 -154.58799 -152.06988 -149.51387 -146.92060 -144.29071 -141.62486 -138.92372 -136.18795 -133.41824 -130.61529 -127.77978 -124.91242 -122.01394 -119.08504 -116.12647 -113.13896 -110.12324 -107.08009 -104.01025 -100.91448 -97.79357 -94.64828 -91.47941 -88.28774 -85.07406 -81.83918 -78.58391 -75.30905 -72.01542 -68.70385 -65.37515 -62.03016 -58.66971 -55.29464 -51.90579 -48.50400 -45.09012 -41.66501 -38.22951 -34.78448 -31.33079 -27.86929 -24.40084 -20.92631 -17.44657 -13.96247 -10.47490 -6.98472 -3.49279 0.00000 0.00000
-3.98928 -7.97756 -11.96385 -15.94716 -19.92650 -23.90087 -27.86929 -31.83076 -35.78429 -39.72891 -43.66363 -47.58746 -51.49944 -55.39858 -59.28391 -63.15447 -67.00929 -70.84741 -74.66788 -78.46973 -82.25203 -86.01383 -89.75419 -93.47218 -97.16688 -100.83736 -104.48272 -108.10203 -111.69440 -115.25893 -118.79474 -122.30095 -125.77667 -129.22105 -132.63322 -136.01234 -139.35756 -142.66805 -145.94299 -149.18155 -152.38293 -155.54634 -158.67098 -161.75607 -164.80086 -167.80457 -170.76646 -173.68579 -176.56184 -179.39388 -182.18122 -184.92315 -187.61899 -190.26808 -192.86974 -195.42334 -197.92824 -200.38381 -202.78944 -205.14453 -207.44849 -209.70075 -211.90075 -214.04795 -216.14179 -218.18177 -220.16737 -222.09810 -223.97349 -225.79305 -227.55634 -229.26292 -230.91236 -232.50425 -234.03820 -235.51382 -236.93074 -238.28862 -239.58711 -240.82589 -242.00465 -243.12310 -244.18096 -245.17796 -246.11386 -246.98842 -247.80143 -248.55268 -249.24199 -249.86918 -250.43410 -250.93660 -251.37657 -251.75388 -252.06846 -252.32021 -252.50908 -252.63502 -252.69800 -252.69800 -252.63502 -252.50908 -252.32021 -252.06846 -251.75388 -251.37657 -250.93660 -250.43410 -249.86918 -249.24199 -248.55268 -247.80143 -246.98842 -246.11386 -245.17796 -244.18096 -243.12310 -242.00465 -240.82589 -239.58711 -238.28862 -236.93074 -235.51382 -234.03820 -232.50425 -230.91236 -229.26292 -227.55634 -225.79305 -223.97349 -222.09810 -220.16737 -218.18177 -216.14179 -214.04795 -211.90075 -209.70075 -207.44849 -205.14453 -202.78944 -200.38381 -197.92824 -195.42334 -192.86974 -190.26808 -187.61899 -184.92315 -182.18122 -179.39388 -176.56184 -173.68579 -170.76646 -167.80457 -164.80086 -161.75607 -158.67098 -155.54634 -152.38293 -149.18155 -145.94299 -142.66805 -139.35756 -136.01234 -132.63322 -129.22105 -125.77667 -122.30095 -118.79474 -115.25893 -111.69440 -108.10203 -104.48272 -100.83736 -97.16688 -93.47218 -89.75419 -86.01383 -82.25203 -78.46973 -74.66788 -70.84741 -67.00929 -63.15447 -59.28391 -55.39858 -51.49944 -47.58746 -43.66363 -39.72891 -35.78429 -31.83076 -27.86929 -23.90087 -19.92650 -15.94716 -11.96385 -7.97756 -3.98928 0.00000 0.00000
-4.48476 -8.96841 -13.44982 -17.92788 -22.40147 -26.86948 -31.33079 -35.78429 -40.22888 -44.66344 -49.08687 -53.49806 -57.89592 -62.27936 -66.64727 -70.99857 -75.33218 -79.64701 -83.94199 -88.21606 -92.46813 -96.69717 -100.90210 -105.08189 -109.23549 -113.36186 -117.45998 -121.52883 -125.56739 -129.57466 -133.54964 -137.49133 -141.39875 -145.27094 -149.10692 -152.90574 -156.66645 -160.38812 -164.06982 -167.71063 -171.30964 -174.86596 -178.37869 -181.84697 -185.26993 -188.64672 -191.97649 -195.25842 -198.49169 -201.67548 -204.80902 -207.89151 -210.92219 -213.90031 -216.82512 -219.69588 -222.51190 -225.27246 -227.97688 -230.62449 -233.21461 -235.74662 -238.21987 -240.63375 -242.98766 -245.28102 -247.51324 -249.68378 -251.79209 -253.83765 -255.81995 -257.73850 -259.59281 -261.38242 -263.10689 -264.76579 -266.35870 -267.88524 -269.34501 -270.73765 -272.06282 -273.32019 -274.50944 -275.63027 -276.68241 -277.66560 -278.57959 -279.42415 -280.19907 -280.90416 -281.53924 -282.10416 -282.59877 -283.02295 -283.37660 -283.65962 -283.87195 -284.01353 -284.08433 -284.08433 -284.01353 -283.87195 -283.65962 -283.37660 -283.02295 -282.59877 -282.10416 -281.53924 -280.90416 -280.19907 -279.42415 -278.57959 -277.66560 -276.68241 -275.63027 -274.50944 -273.32019 -272.06282 -270.73765 -269.34501 -267.88524 -266.35870 -264.76579 -263.10689 -261.38242 -259.59281 -257.73850 -255.81995 -253.83765 -251.79209 -249.68378 -247.51324 -245.28102 -242.98766 -240.63375 -238.21987 -235.74662 -233.21461 -230.62449 -227.97688 -225.27246 -222.51190 -219.69588 -216.82512 -213.90031 -210.92219 -207.89151 -204.80902 -201.67548 -198.49169 -195.25842 -191.97649 -188.64672 -185.26993 -181.84697 -178.37869 -174.86596 -171.30964 -167.71063 -164.06982 -160.38812 -156.66645 -152.90574 -149.10692 -145.27094 -141.39875 -137.49133 -133.54964 -129.57466 -125.56739 -121.52883 -117.45998 -113.36186 -109.23549 -105.08189 -100.90210 -96.69717 -92.46813 -88.21606 -83.94199 -79.64701 -75.33218 -70.99857 -66.64727 -62.27936 -57.89592 -53.49806 -49.08687 -44.66344 -40.22888 -35.78429 -31.33079 -26.86948 -22.40147 -17.92788 -13.44982 -8.96841 -4.48476 0.00000 0.00000
-4.97913 -9.95703 -14.93244 -19.90413 -24.87086 -29.83139 -34.78448 -39.72891 -44.66344 -49.58683 -54.49787 -59.39532 -64.27798 -69.14461 -73.99401 -78.82497 -83.63628 -88.42676 -93.19519 -97.94040 -102.66119 -107.35641 -112.02486 -116.66540 -121.27687 -125.85810 -130.40798 -134.92535 -139.40909 -143.85809 -148.27124 -152.64744 -156.98559 -161.28462 -165.54346 -169.76103 -173.93630 -178.06822 -182.15577 -186.19791 -190.19365 -194.14199 -198.04195 -201.89255 -205.69284 -209.44186 -213.13868 -216.78239 -220.37206 -223.90682 -227.38578 -230.80806 -234.17283 -237.47923 -240.72645 -243.91367 -247.04011 -250.10498 -253.10751 -256.04697 -258.92261 -261.73373 -264.47962 -267.15959 -269.77298 -272.31914 -274.79743 -277.20723 -279.54795 -281.81900 -284.01981 -286.14984 -288.20856 -290.19545 -292.11001 -293.95178 -295.72028 -297.41509 -299.03578 -300.58194 -302.05318 -303.44915 -304.76950 -306.01389 -307.18201 -308.27358 -309.28832 -310.22597 -311.08632 -311.86913 -312.57422 -313.20141 -313.75054 -314.22149 -314.61411 -314.92834 -315.16407 -315.32126 -315.39986 -315.39986 -315.32126 -315.16407 -314.92834 -314.61411 -314.22149 -313.75054 -313.20141 -312.57422 -311.86913 -311.08632 -310.22597 -309.28832 -308.27358 -307.18201 -306.01389 -304.76950 -303.44915 -302.05318 -300.58194 -299.03578 -297.41509 -295.72028 -293.95178 -292.11001 -290.19545 -288.20856 -286.14984 -284.01981 -281.81900 -279.54795 -277.20723 -274.79743 -272.31914 -269.77298 -267.15959 -264.47962 -261.73373 -258.92261 -256.04697 -253.10751 -250.10498 -247.04011 -243.91367 -240.72645 -237.47923 -234.17283 -230.80806 -227.38578 -223.90682 -220.37206 -216.78239 -213.13868 -209.44186 -205.69284 -201.89255 -198.04195 -194.14199 -190.19365 -186.19791 -182.15577 -178.06822 -173.93630 -169.76103 -165.54346 -161.28462 -156.98559 -152.64744 -148.27124 -143.85809 -139.40909 -134.92535 -130.40798 -125.85810 -121.27687 -116.66540 -112.02486 -107.35641 -102.66119 -97.94040 -93.19519 -88.42676 -83.63628 -78.82497 -73.99401 -69.14461 -64.27798 -59.39532 -54.49787 -49.58683 -44.66344 -39.72891 -34.78448 -29.83139 -24.87086 -19.90413 -14.93244 -9.95703 -4.97913 0.00000 0.00000
